11 0 0 1 12 0 15 4 1 4 5 0 0 4 2 0 4 0 3 0 0 5 0 0 1 2 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11 0 0 6 0 0 7 2 0 0 0 0 0 13 7 4 3 2 3 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11 0 2 1 11 0 16 5 3 6 6 8 0 10 2 0 4 3 4 0 0 1 0 0 1 2 0 0 0 0 0 0 0 1 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
11 0 44 9 0 5 0 2 0 6 6 4 0 2 0 0 7 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 3 0 0 0 0 0 0
11 0 18 4 5 6 0 23 0 5 7 8 0 4 0 0 12 0 8 0 0 3 0 0 0 0 0 8 4 0 0 0 0 0 3 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11 0 9 0 3 1 0 9 0 2 11 3 0 4 0 0 6 0 10 0 0 5 0 0 0 0 0 1 1 0 0 0 0 0 17 0 0 0 4 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
11 0 22 4 1 5 0 2 0 3 2 6 0 4 0 0 3 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11 0 2 28 3 2 0 2 0 7 2 2 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11 0 25 0 3 2 0 6 0 6 4 4 0 8 0 0 8 0 5 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
11 0 7 1 0 1 0 2 0 3 5 1 0 3 0 0 6 0 2 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
