11 27 60 0
11 28 60 5
11 34 60 4
11 42 60 4
11 52 60 14
11 62 60 19
11 72 60 14
15 8 20 0
15 9 20 1
15 10 20 3
15 11 20 1
15 20 20 1
15 21 20 2
15 27 20 1
15 33 20 5
15 50 20 3
15 53 20 3
15 54 20 0
16 13 24 0
16 14 24 1
16 19 24 2
16 32 24 3
16 33 24 1
16 38 24 6
16 39 24 1
16 46 24 7
16 47 24 1
16 50 24 2
16 51 24 0
20 3 50 0
20 4 50 1
20 5 50 1
20 6 50 1
20 7 50 1
20 8 50 1
20 10 50 1
20 11 50 2
20 12 50 3
20 13 50 1
20 15 50 1
20 16 50 2
20 18 50 2
20 19 50 2
20 21 50 3
20 22 50 2
20 23 50 3
20 25 50 4
20 28 50 1
20 29 50 13
20 32 50 2
20 33 50 1
20 35 50 2
20 36 50 0
23 4 20 0
23 5 20 1
23 6 20 4
23 7 20 1
23 9 20 1
23 12 20 1
23 13 20 2
23 16 20 1
23 17 20 3
23 18 20 1
23 20 20 1
23 21 20 1
23 27 20 3
23 28 20 0
26.2 10 37 0
26.2 11 37 6
26.2 12 37 8
26.2 18 37 11
26.2 21 37 1
26.2 26 37 10
26.2 28 37 1
26.2 29 37 0
30 4 56 0
30 5 56 2
30 7 56 9
30 8 56 21
30 10 56 4
30 11 56 1
30 12 56 4
30 13 56 4
30 14 56 4
30 17 56 4
30 19 56 2
30 21 56 1
30 22 56 0
